candidate_id,rank,score,reasoning
CAND_0008425,1,0.9900,"Senior NLP Engineer at Ola, 7.8 yrs, Kolkata, West Bengal. Matched: embeddings (expert, 96mo); vector-DB/search (expert, 92mo); Python (expert, 55mo). Saved by 55 recruiters in 30d (market-validated)."
CAND_0081846,2,0.9732,"Lead AI Engineer at Razorpay, 6.7 yrs, Jaipur, Rajasthan. Matched: embeddings (expert, 95mo); vector-DB/search (expert, 60mo); Python (expert, 75mo). Saved by 62 recruiters in 30d (market-validated)."
CAND_0030784,3,0.9693,"Data Scientist at Yellow.ai, 4.4 yrs, Delhi, Delhi. Matched: embeddings (advanced, 53mo); vector-DB/search (intermediate, 32mo); Python (advanced, 24mo). Saved by 37 recruiters in 30d (market-validated)."
CAND_0055905,4,0.9581,"Senior Machine Learning Engineer at Flipkart, 8.1 yrs, London. Matched: embeddings (expert, 75mo); vector-DB/search (expert, 80mo); Python (expert, 45mo). Saved by 13 recruiters in 30d (market-validated)."
CAND_0027691,5,0.9577,"NLP Engineer at Haptik, 6.5 yrs, Pune, Maharashtra. Matched: embeddings (advanced, 18mo); vector-DB/search (expert, 73mo); Python (advanced, 27mo). Saved by 25 recruiters in 30d (market-validated)."
CAND_0079387,6,0.9459,"AI Engineer at Microsoft, 6.9 yrs, Trivandrum, Kerala. Matched: embeddings (expert, 72mo); vector-DB/search (expert, 83mo); Python (expert, 51mo). Saved by 22 recruiters in 30d (market-validated)."
CAND_0052328,7,0.9304,"Recommendation Systems Engineer at Amazon, 6.5 yrs, Pune, Maharashtra. Matched: embeddings (expert, 71mo); vector-DB/search (expert, 42mo); Python (advanced, 50mo). Saved by 31 recruiters in 30d (market-validated)."
CAND_0077337,8,0.9126,"Staff Machine Learning Engineer at Paytm, 7.0 yrs, Kochi, Kerala. Matched: embeddings (expert, 36mo); vector-DB/search (expert, 75mo); Python (expert, 82mo). Saved by 32 recruiters in 30d (market-validated)."
CAND_0004402,9,0.8763,"AI Research Engineer at Yellow.ai, 6.0 yrs, Delhi, Delhi. Matched: embeddings (intermediate, 24mo); vector-DB/search (intermediate, 24mo); ranking-eval/NDCG (advanced, 45mo). Saved by 27 recruiters in 30d (market-validated)."
CAND_0070398,10,0.8706,"Machine Learning Engineer at Genpact AI, 7.2 yrs, Kochi, Kerala. Matched: embeddings (expert, 92mo); vector-DB/search (expert, 90mo); Python (expert, 40mo). Saved by 13 recruiters in 30d (market-validated)."
CAND_0069905,11,0.8392,"Applied ML Engineer at Sarvam AI, 6.6 yrs, Bhubaneswar, Odisha. Matched: embeddings (expert, 55mo); vector-DB/search (expert, 78mo); Python (expert, 42mo). Saved by 57 recruiters in 30d (market-validated)."
CAND_0030031,12,0.8058,"AI Engineer at Microsoft, 5.7 yrs, Trivandrum, Kerala. Matched: embeddings (advanced, 23mo); vector-DB/search (expert, 74mo); Python (expert, 57mo). Saved by 13 recruiters in 30d (market-validated)."
CAND_0075249,13,0.7725,"Applied ML Engineer at Zomato, 6.2 yrs, Ahmedabad, Gujarat. Matched: embeddings (expert, 68mo); vector-DB/search (expert, 77mo); ranking-eval/NDCG (expert, 37mo). Saved by 9 recruiters in 30d (market-validated)."
CAND_0002025,14,0.7610,"Senior AI Engineer at Apple, 5.9 yrs, Trivandrum, Kerala. Matched: embeddings (expert, 81mo); vector-DB/search (expert, 86mo); Python (expert, 54mo). Saved by 22 recruiters in 30d (market-validated)."
CAND_0051936,15,0.7532,"AI Research Engineer at Observe.AI, 3.9 yrs, Ahmedabad, Gujarat. Matched: embeddings (intermediate, 28mo); vector-DB/search (advanced, 30mo); Python (advanced, 39mo). Saved by 34 recruiters in 30d (market-validated)."
CAND_0018499,16,0.7393,"Senior Machine Learning Engineer at Zomato, 7.2 yrs, Noida, Uttar Pradesh. Matched: embeddings (expert, 65mo); vector-DB/search (expert, 88mo); ranking-eval/NDCG (expert, 70mo). Saved by 16 recruiters in 30d (market-validated)."
